Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,VISOKO,,NO2,Nitrogen dioxide (air),17-11-19,59.913,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=8&Year_from=2021&Year_to=2021&Station=STA-BA0052A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,KAKANJ , DOBOJ,CO,Carbon monoxide (air),11-03-21,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=10&Year_from=2021&Year_to=2021&Station=STA-BA0057A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,LIVNO,,PM10,Particulate matter < 10 µm (aerosol),08-09-15,0.952,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,PM10,Particulate matter < 10 µm (aerosol),02-06-21,164.238,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,CO,Carbon monoxide (air),24-05-11,0.182,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=10&Year_from=2021&Year_to=2021&Station=STA-BA0057A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,LIVNO,,NO2,Nitrogen dioxide (air),22-05-20,0.045,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,PM10,Particulate matter < 10 µm (aerosol),14-05-12,53.131,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,VISOKO,,PM2.5,Particulate matter < 2.5 µm (aerosol),15-10-16,41.786,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,LIVNO,,NO2,Nitrogen dioxide (air),20-07-20,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,KAKANJ , DOBOJ,O3,Ozone (air),03-08-12,1.736,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0055A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
