Country,city,location,parameter_name,parameter_description,measurement_datetime,measurement_value,unit,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),29-10-20,44.919,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),22-03-22,10.99,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),03-08-20,15.002,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),02-08-18,309.551,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),04-06-11,122.991,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),26-12-16,152.242,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),09-01-15,5.454,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),09-08-17,14.292,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),03-06-21,14.977,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),14-02-20,17.768,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),15-08-21,2.828,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),08-08-16,-3,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),13-07-20,27.06,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),04-03-17,34.324,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),16-02-16,34.496,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,PM10,Particulate matter < 10 µm (aerosol),05-07-20,20.651,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),02-11-15,13273.76,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),12-08-15,2488.53,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),28-07-10,5374.43,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),15-12-13,22678.236,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),03-02-22,15518.129,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2018&Year_to=2018&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),25-11-16,29.985,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),17-04-17,118.771,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),06-12-23,78.483,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2018&Year_to=2018&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),22-05-15,76.115,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),20-02-19,102.523,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),16-01-22,120.189,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2018&Year_to=2018&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),15-07-15,130.308,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),30-01-19,111.125,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),27-10-21,107.875,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),27-09-12,92.254,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),07-09-12,132.56,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),01-10-17,3.19,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),25-09-20,17.29,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),17-09-13,64.681,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),24-04-11,62,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),14-07-14,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),26-05-20,25,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),19-04-12,18276.54,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,O3,Ozone (air),10-05-10,63.404,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-BA0001G&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,IVAN SEDLO,,SO2,Sulphur dioxide (air),04-09-17,16.035,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),13-11-19,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),18-07-21,40.806,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),16-06-23,31.71,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),14-11-21,0.576,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),22-06-23,12.975,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),08-05-13,2,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2016&Year_to=2016&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),06-05-15,1,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),24-04-12,743.2,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),10-03-22,91.042,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),08-07-10,46.453,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),11-02-23,130.712,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),08-11-12,17.605,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),05-01-17,5.107,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2018&Year_to=2018&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),20-04-21,5.074,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),03-01-14,6,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,SO2,Sulphur dioxide (air),18-07-19,0,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=1&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),19-01-10,62.118,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),26-06-13,25.713,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),04-12-16,1.813,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),04-05-13,67.274,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),23-10-16,67.274,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),13-10-15,62.347,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),11-06-22,83.43,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),20-09-21,261.23,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2020&Year_to=2020&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),25-09-12,41.453,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2017&Year_to=2017&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),09-06-19,39.693,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),27-09-18,40.275,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=5&Year_from=2021&Year_to=2021&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),17-01-23,39.17,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),21-07-14,7530.407,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),02-06-22,15558.19,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2016&Year_to=2016&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),27-10-23,32640.106,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),06-11-23,6739.169,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),14-09-11,39448.778,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2019&Year_to=2019&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),29-09-14,55.353,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),08-01-17,68.262,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2018&Year_to=2018&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),18-11-23,0,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),21-10-19,167.291,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),24-03-23,78.082,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2020&Year_to=2020&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
Bosnia and Herzegovina,SARAJEVO,BJ_AUTOMAT,O3,Ozone (air),09-04-14,141.026,ug/m3,E1a/validated data AQ e-Reporting,http://fme.discomap.eea.europa.eu/fmedatastreaming/AirQualityDownload/AQData_Extract.fmw?CountryCode=BA&CityName=&Pollutant=7&Year_from=2017&Year_to=2017&Station=STA-BA0029A&Samplingpoint=&Source=E1a&Output=HTML&UpdateDate=
