Country,City,Location,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,ZENICA , CENTAR,NO2,Nitrogen dioxide (air),2022,16.596,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,O3,Ozone (air),2020,56.813,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,O3,Ozone (air),2022,122.063,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,PM2.5,Particulate matter < 2.5 µm (aerosol),2020,47.496,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,O3,Ozone (air),2021,59.729,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,PM2.5,Particulate matter < 2.5 µm (aerosol),2020,19.92,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,O3,Ozone (air),2018,98.989,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,SO2,Sulphur dioxide (air),2022,16.204,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,SO2,Sulphur dioxide (air),2022,71.442,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,ZENICA , CENTAR,O3,Ozone (air),2020,0,count,E1a/validated data AQ e-Reporting,
