Country,City,Location,Air Pollutant,Air Pollutant Description,Year,Air Pollution Level,Unit Of Air Pollution Level,Source Of Data Flow,Link to raw data (only E1a/validated data from AQ e-Reporting)
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,O3,Ozone (air),2019,454.782,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,O3,Ozone (air),2018,13,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,O3,Ozone (air),2022,1,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2021,0,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2021,5.128,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO2,Nitrogen dioxide (air),2023,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NOX as NO2,Nitrogen oxides (air),2022,259.655,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NOX as NO2,Nitrogen oxides (air),2023,28.029,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,CO,Carbon monoxide (air),2021,0.596,mg/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO,Nitrogen monoxide (air),2023,4.474,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,NO,Nitrogen monoxide (air),2023,10.484,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,SO2,Sulphur dioxide (air),2021,419.232,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,SO2,Sulphur dioxide (air),2022,526.5,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,SO2,Sulphur dioxide (air),2021,37.419,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,SO2,Sulphur dioxide (air),2021,46,count,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,SO2,Sulphur dioxide (air),2023,202.154,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,PM10,Particulate matter < 10 µm (aerosol),2020,46.242,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,PM10,Particulate matter < 10 µm (aerosol),2022,38.7,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,PM10,Particulate matter < 10 µm (aerosol),2020,2.873,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,PM10,Particulate matter < 10 µm (aerosol),2023,0.603,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,TUZLA1 , MS2,PM10,Particulate matter < 10 µm (aerosol),2021,66.281,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2020,216.453,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2023,134.731,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2021,39.886,ug/m3,E1a/validated data AQ e-Reporting,
Bosnia and Herzegovina,SARAJEVO,BJ-AUTOMAT,PM10,Particulate matter < 10 µm (aerosol),2023,36.709,ug/m3,Mixed E1a/validated and E2a/UTD data AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2022,3116.746,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2023,0,count,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2022,96.207,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2023,67.348,ug/m3,E2a/UTD AQ e-Reporting,
Bosnia and Herzegovina,SKVER , MS1,O3,Ozone (air),2023,1.55,ug/m3,E2a/UTD AQ e-Reporting,
